division_name,avg_yoy_inflation,peak_yoy_inflation,lowest_yoy_inflation
Food and Non-Alcoholic Beverages,6.7,9.4,4.3
"Alcoholic Beverages, Tobacco and Narcotics",5.62,8.7,2.3
Transport,4.81,16.5,-1.3
"Personal Care, Social Protection and Miscellaneous Goods and Services",3.9,6.1,2.5
"Recreation, Sport and Culture",3.62,5.4,2.5
Restaurants and Accommodation Services,3.58,4.6,2.1
Clothing and Footwear,3.21,4.5,1.5
"Furnishings, Household Equipment and Routine Household Maintenance",3.01,4.4,1.4
Health,2.91,3.7,2.4
Education Services,2.64,3.3,2.2
"Housing, Water, Electricity, Gas and Other Fuels",2.33,9.7,-1.6
Information and Communication,1.0,1.6,0.4
Insurance and Financial Services,0.82,1.3,0.1